sub_subcategory_id,sub_subcategory_name,category_id,category_name,deal_id,sic,sic_description,sic_6_digit,sic_6_digit_description,SIC 8-digit,8_digit_Description,naics,naics_description
394,Adult Entertainment,6,Arts & Entertainment,11,7929,"Bands, Orchestras, Actors, and Other Entertainers and Entertainment Groups",792900,Adult Entertainment,79220105.0,Entertainment promotion,713990,All Other Amusement and Recreation Industries
378,Amusement Parks,6,Arts & Entertainment,11,7996,Amusement Parks,799600,Amusement Parks,79960000.0,Amusement parks,713110,Amusement and Theme Parks
396,Arcades,6,Arts & Entertainment,11,7993,Coin-Operated Amusement Devices,799300,Arcades,79930300.0,Arcades,713120,Amusement Arcades
395,Art Centers,6,Arts & Entertainment,11,8412,Museums and Art Galleries,841200,Art Centers,22730300.0,Art squares,712120,Historical Sites
397,Art Galleries,6,Arts & Entertainment,11,8412,Museums and Art Galleries,841200,Art Galleries,84120000.0,Museums and art galleries,712110,Museums
398,Artist Studios,6,Arts & Entertainment,11,7389,Business Services NEC,738900,Artist Studios,89990101.0,Artist,711510,"Independent Artists, Writers, and Performers"
399,Bars & Nightclubs,6,Arts & Entertainment,11,5813,Drinking Places,581300,Bars & Nightclubs,20439905.0,"Granola and muesli, except bars and clusters",722410,Drinking Places (Alcoholic Beverages)
400,Bingo Halls,6,Arts & Entertainment,11,7999,Amusement and Recreation Services NEC,799900,Bingo Halls,79990801.0,Bingo hall,713290,Other Gambling Industries
379,Bowling,6,Arts & Entertainment,11,7933,Bowling Centers,793300,Bowling,17990101.0,Bowling alley installation,713950,Bowling Centers
380,Casino/Gaming,6,Arts & Entertainment,11,7999,Amusement and Recreation Services NEC,799900,Casino/Gaming,70110301.0,Casino hotel,713210,Casinos (except Casino Hotels)
381,Comedy Clubs,6,Arts & Entertainment,2,7922,Theatrical producers and services,792212,Comedy Clubs,24991400.0,"Mallets, hammers, and clubs: wood",711310,"Promoters of performing arts, sports, and similar events"
401,Community Centers,6,Arts & Entertainment,11,8641,"Civic, Social, and Fraternal Associations",864100,Community Centers,65120204.0,"Shopping center, community (100,000-300,000 sq. ft.)",624120,Services for the Elderly and Persons with Disabilities
382,Concert Halls,6,Arts & Entertainment,2,7922,The SIC code 7922 corresponds to the category of Arts & Entertainment and specifically to Concert Halls.,799913,Concert Halls,79229902.0,Concert management service,711310,"Promoters of Performing Arts, Sports, and Similar Events"
402,Concert Venues,6,Arts & Entertainment,11,7929,"Bands, Orchestras, Actors, and Other Entertainers and Entertainment Groups",792900,Concert Venues,79229902.0,Concert management service,711310,"Promoters of Performing Arts, Sports, and Similar Events"
403,Craft Studios,6,Arts & Entertainment,11,7389,Business Services NEC,738900,Craft Studios,37320106.0,"Tenders (small motor craft), building and repairing",711510,"Independent Artists, Writers, and Performers"
404,Cultural Centers,6,Arts & Entertainment,11,8412,Museums and Art Galleries,841200,Cultural Centers,86990202.0,"Literary, film or cultural club",712120,Historical Sites
383,Dance Companies,6,Arts & Entertainment,3,7911,"Dance Studios, Schools, and Halls",792209,Dance Companies,79110101.0,Dance hall or ballroom operation,711120,Dance Companies
393,Escape Rooms,6,Arts & Entertainment,10,7993,Amusement and recreation services,799340,Escape Rooms,17999914.0,Fire escape installation,713990,All Other Amusement and Recreation Industries
405,Event Venues,6,Arts & Entertainment,11,7389,Business Services NEC,738900,Event Venues,79410200.0,Stadium event operator services,531120,Lessors of Nonresidential Buildings (except Miniwarehouses)
406,Filming Locations,6,Arts & Entertainment,11,7819,Services Allied to Motion Picture Production,781900,Filming Locations,73420103.0,Washroom sanitation service (industrial locations),512199,Other Motion Picture and Video Industries
407,Gaming Centers,6,Arts & Entertainment,11,7993,Coin-Operated Amusement Devices,799300,Gaming Centers,22989901.0,Wire rope centers,713120,Amusement Arcades
408,Go Kart Tracks,6,Arts & Entertainment,11,7999,Amusement and Recreation Services NEC,799900,Go Kart Tracks,37280306.0,"Landing skis and tracks, aircraft",713990,All Other Amusement and Recreation Industries
409,Jazz Clubs,6,Arts & Entertainment,11,5813,Drinking Places,581300,Jazz Clubs,48320107.0,Jazz,722410,Drinking Places (Alcoholic Beverages)
410,Karaoke,6,Arts & Entertainment,11,7999,Amusement and Recreation Services NEC,799900,Karaoke,79990000.0,"Amusement and recreation, nec",713990,All Other Amusement and Recreation Industries
